Title,Price,Beds,Amenities,Specials
399 Fremont,"$2,759 - $6,700",Studio - 3 Beds,"Pets Allowed
Fitness Center
Pool
Balcony
High-Speed Internet
Stainless Steel Appliances",N/A
150 Van Ness,"$2,745 - $8,120",Studio - 3 Beds,"Pets Allowed
Fitness Center
Pool
Dishwasher
Refrigerator
Kitchen
In Unit Washer & Dryer",N/A
Lakewood Apartments At Lake Merced,"$2,199 - $4,199",Studio - 2 Beds,"Fitness Center
Pool
Dishwasher
Refrigerator
Kitchen
Walk-In Closets",N/A
Edgewater,"$2,995 - $3,995",Studio - 2 Beds,"Pets Allowed
Fitness Center
In Unit Washer & Dryer
Walk-In Closets
Balcony
High-Speed Internet
Patio",N/A
2000 Post,"$2,470 - $4,271",Studio - 3 Beds,"Pets Allowed
Fitness Center
Pool
Walk-In Closets
High-Speed Internet
Stainless Steel Appliances
Ceiling Fans",N/A
Geary Courtyard,"$1,975 - $2,428",Studio - 2 Beds,"Pets Allowed
High-Speed Internet
Stainless Steel Appliances
Business Center
Package Service
Controlled Access
Concierge",N/A
NEMA,"$3,103 - $6,550",Studio - 2 Beds,"Pets Allowed
Fitness Center
Pool
Dishwasher
Refrigerator
In Unit Washer & Dryer
Walk-In Closets",N/A
The Gateway,"$2,901 - $7,981",Studio - 4 Beds,"In Unit Washer & Dryer
Microwave
Stainless Steel Appliances
Controlled Access
Hardwood Floors
Elevator
Rooftop Deck",N/A
100 Van Ness,"$3,164 - $5,763",Studio - 2 Beds,"Pets Allowed
Fitness Center
Pool
Dishwasher
Refrigerator
Kitchen",N/A
388 Beale,"$3,220 - $6,205",Studio - 3 Beds,"Pets Allowed
Fitness Center
In Unit Washer & Dryer
Walk-In Closets
Balcony
Maintenance on site
High-Speed Internet",N/A
Parkmerced,"$2,625 - $7,318",1-3 Beds,"Pets Allowed
Fitness Center
Clubhouse
Maintenance on site
Business Center
Elevator",N/A
Channel Mission Bay,"$3,395 - $5,196",Studio - 2 Beds,"Pets Allowed
Fitness Center
Pool
Kitchen
In Unit Washer & Dryer
Walk-In Closets",N/A
The Civic,"$2,508 - $5,123",Studio - 2 Beds,"Pets Allowed
Fitness Center
Dishwasher
Refrigerator
Kitchen
In Unit Washer & Dryer
Walk-In Closets",N/A
HQ,"$2,359 - $3,772",Studio - 2 Beds,"Pets Allowed
Fitness Center
Dishwasher
Kitchen
In Unit Washer & Dryer
Balcony
Range",N/A
Hanover Soma West,"$2,449 - $6,382",Studio - 3 Beds,"Fitness Center
Dishwasher
Refrigerator
In Unit Washer & Dryer
Walk-In Closets
Clubhouse",N/A
